month,average_humidity
1,76.19354838709677
2,54.92857142857143
3,69.51612903225806
4,77.7
5,71.96774193548387
6,64.1
7,74.25806451612904
8,78.45161290322581
9,76.93333333333334
10,70.96774193548387
11,75.3
12,67.74193548387096
